stem,niqe_abl_no_gamma,niqe_abl_no_clahe,niqe_abl_no_sat,niqe_abl_no_unsharp,musiq_abl_no_gamma,musiq_abl_no_clahe,musiq_abl_no_sat,musiq_abl_no_unsharp,maniqa_abl_no_gamma,maniqa_abl_no_clahe,maniqa_abl_no_sat,maniqa_abl_no_unsharp,nrqm_abl_no_gamma,nrqm_abl_no_clahe,nrqm_abl_no_sat,nrqm_abl_no_unsharp
01_Urban_Light_Trails_Walking_Figure,5.048566003299882,6.196704322746734,5.010474651563782,4.734874240849964,43.76660919189453,29.845548629760742,43.447357177734375,36.01937484741211,0.319663941860199,0.2905747592449188,0.309204638004303,0.2882371246814728,6.627457618713379,2.611654281616211,6.606232166290283,5.710936069488525
02_Red_Sign_Reflections_Blurred_Glass,8.401788253996877,9.395360140553617,8.588359824165828,8.47785765738492,24.222326278686523,21.14181900024414,23.057395935058594,22.741127014160156,0.182603120803833,0.22052547335624695,0.18880689144134521,0.18627436459064484,2.204832077026367,2.8487186431884766,2.22316575050354,2.3541336059570312
03_Dim_Night_Market_Food_Alley,6.209298433553664,6.741176480891073,5.484940093577316,5.173940771984314,31.940956115722656,29.28809356689453,27.464271545410156,21.74032974243164,0.29994407296180725,0.20006446540355682,0.19650278985500336,0.1995278000831604,6.439070224761963,5.160749912261963,6.139159679412842,4.700928688049316
04_Cyclist_Passing_Warm_Storefront_Lights,4.743916262426704,7.204683927328646,4.8343333122961285,4.800998272008435,20.409921646118164,20.714521408081055,21.831100463867188,19.67697525024414,0.2286425083875656,0.21066537499427795,0.2231186330318451,0.22247940301895142,6.351444721221924,2.5817060470581055,5.021551132202148,4.620466232299805
05_Red_Taxi_Through_City_Lights,7.328203832842424,8.272049900835212,7.294724156194299,7.279568871120476,24.590341567993164,18.7985782623291,23.0472354888916,21.363529205322266,0.14350107312202454,0.1483435034751892,0.13846342265605927,0.13538095355033875,3.1564455032348633,2.685218572616577,3.1021337509155273,2.7749147415161133
06_Shaking_Neon_Signs_Overhead_Night,7.77610755482551,8.68007732979692,8.164843821549,8.08391730918338,22.310062408447266,18.09130096435547,23.429044723510742,21.70301628112793,0.17633511126041412,0.19138796627521515,0.17689727246761322,0.17920652031898499,2.6765806674957275,2.278559446334839,2.6048295497894287,2.474412202835083
07_Yellow_Taxi_Neon_Rain_Street,5.747598404240358,6.523144573431843,5.884884626732547,6.101590963947089,37.73815155029297,37.50540542602539,39.17198944091797,35.29448699951172,0.24258390069007874,0.230939120054245,0.23868420720100403,0.23002655804157257,3.355104446411133,2.9897265434265137,3.284709930419922,3.2990074157714844
08_KFC_Rider_Rainy_Night_Delivery,6.331973118880223,6.661932295863794,6.541601387364247,6.544183900965286,33.404701232910156,30.41288948059082,31.551359176635742,31.029287338256836,0.17001213133335114,0.1652185320854187,0.15587837994098663,0.15400788187980652,3.8065240383148193,3.0975141525268555,3.745762825012207,3.6734416484832764
09_White_Truck_Zoom_Blur_Rain,5.380889346446719,6.961097143596583,5.776814931165823,5.730832518531588,31.203399658203125,23.500438690185547,28.756620407104492,26.4682674407959,0.1262557953596115,0.11923559010028839,0.13605570793151855,0.13253982365131378,4.284290313720703,3.0943398475646973,4.143545150756836,4.083975791931152
10_Crowded_Night_Market_Face_Glow,5.574149314592534,6.085781710556693,5.804179258999154,5.463612938424638,24.435455322265625,22.588579177856445,23.710445404052734,21.656024932861328,0.09321025758981705,0.08064785599708557,0.09289027750492096,0.0790245309472084,5.164392471313477,3.9688000679016113,4.546918869018555,4.283438682556152
11_Fumachi_Night_Market_Ghost_Crowd,4.6579341678809625,5.410426350937237,4.748946490981863,4.912594181152605,39.80894088745117,35.0374755859375,38.317256927490234,31.47956085205078,0.2522706091403961,0.23707826435565948,0.2520718574523926,0.22487159073352814,5.430488109588623,4.436864852905273,5.159494876861572,4.411253929138184
12_Sidewalk_Signage_In_City_Lights,5.8541394143004295,6.930791359993734,6.085316228126224,6.345983357557467,47.924251556396484,40.94336700439453,48.42257308959961,45.027069091796875,0.2087075114250183,0.23578393459320068,0.2156819850206375,0.20098744332790375,4.422706127166748,4.126896381378174,4.361536979675293,4.3091559410095215
13_FamilyMart_Window_Reflections_Night_Traffic,5.491131423424715,6.854290385583332,6.199409102564839,6.133872335351086,42.52162170410156,34.36875915527344,42.058616638183594,35.93486404418945,0.21707035601139069,0.2282778024673462,0.22068826854228973,0.20016004145145416,4.23992395401001,3.3402462005615234,3.918612003326416,3.6821024417877197
14_Yellow_Chair_Alley_Motion_Portrait,5.536582911367167,7.806172120703622,5.71965743904764,5.415192692264472,22.496150970458984,20.403644561767578,24.40865707397461,22.508493423461914,0.1445838361978531,0.1645117998123169,0.1471318006515503,0.14318163692951202,5.05144739151001,2.390714645385742,4.148931980133057,3.8435423374176025
15_Photographer_Reflected_In_Night_Glass,7.083322689660226,11.040465116293428,8.005504625961574,8.272634887963076,31.678926467895508,24.013694763183594,28.272645950317383,27.630388259887695,0.19580000638961792,0.22126619517803192,0.20453302562236786,0.20444408059120178,2.372605323791504,2.695481538772583,3.171288013458252,3.084737777709961
